PHIÊN BẢN,VF 8 Plus
KÍCH THƯỚC & TẢI TRỌNG,
Chiều dài cơ sở (mm),2.950
Dài x Rộng x Cao (mm),4.750 x 1.934 x 1.667
Khoảng sáng gầm xe không tải (mm),157
Dung tích khoang chứa hành lý (L) - Có hàng ghế cuối/ Gập hết ghế (ISO 3832),376/1.373
Dung tích khoang chứa hành lý (L) - Phía trước (Phương pháp ngập nước),88
Trọng lượng không tải (kg),2.520 Kg
Tải trọng hành lý nóc xe (kg),70
HỆ THỐNG TRUYỀN ĐỘNG,
ĐỘNG CƠ,
Hệ dẫn động,AWD/ 2 cầu toàn thời gian
Công suất tối đa (kW/Hp),300/402
Mô men xoắn cực đại (Nm),620
Tăng tốc 0-100Km/h (s),"5,58"
PIN,
Dung lượng pin khả dụng (kWh),"87,7"
Quãng đường chạy một lần sạc đầy (km),457 (WLTP)
Thời gian nạp pin nhanh nhất (từ 10 đến 70%) (phút),31
THÔNG SỐ TRUYỀN ĐỘNG KHÁC,
Chọn chế độ lái,Eco/Normal/Sport
Sưởi pin cao thế,Có
KHUNG GẦM,
Hệ thống treo - trước,Treo độc lập thông minh
Hệ thống treo - sau,Thanh điều hướng đa điểm
Hệ thống phanh trước/sau,Đĩa thông gió/Đĩa thông gió
Loại la-zăng,Hợp kim 20inch
Trợ lực lái,Trợ lực điện
NGOẠI THẤT,
Đèn pha,"LED, Tự động bật/tắt,
điều chỉnh góc chiếu thông minh"
Đèn chờ dẫn đường,Có
Đèn chiếu sáng ban ngày,LED
Đèn sương mù trước,Có
Đèn chiếu góc,Có
Đèn hậu,LED
Đèn phanh trên cao phía sau,LED
Gương chiếu hậu,"Chỉnh điện, gập điện, nhớ vị trí
Tích hợp báo rẽ, sấy mặt gương,
chống chói tự động, tự động chỉnh khi lùi"
Kiểu cửa sổ,"Chỉnh điện, lên/xuống
Một chạm cả 4 cửa
Hàng ghế trước: kính cách âm 2 lớp,
hàng ghế sau: kính 1 lớp"
Kính cửa sổ màu đen (riêng tư),Hàng ghế sau
Điều chỉnh cốp sau,Chỉnh điện Đóng/mở cốp đá chân
Kính chắn gió,Chống tia UV
Gạt mưa trước,Tự động
Tấm bảo vệ dưới thân xe,Có
NỘI THẤT & TIỆN NGHI,
Số chỗ ngồi,5
Chất liệu bọc ghế,Da nhân tạo
Ghế lái,"Chỉnh điện 12 hướng, nhớ vị trí
Tích hợp thông gió, sưởi"
Ghế phụ,"Chỉnh điện 10 hướng
Tích hợp thông gió, sưởi"
Hàng ghế thứ hai,"Chỉnh cơ 2 hướng, tỷ lệ gập 60:40
Tích hợp thông gió, sưởi"
Loại vô lăng,"Bọc da, dạng D-cut
Chỉnh điện 4 hướng
Tích hợp sưởi, nút bấm điều khiển
tính năng giải trí và ADAS"
Hệ thống điều hòa,"Tự động, 2 vùng
Tích hợp chức năng
kiểm soát chất lượng,
chức năng ion hóa không khí"
Lọc không khí Cabin,Combi 1.0
Ống thông gió dưới chân hành khách sau,Có
Màn hình giải trí cảm ứng,"15,6 Inch"
Màn hình hiển thị HUD,Có
Cổng kết nối USB loại A,"Hàng ghế trước: 2
Hàng ghế thứ hai: 2"
Cổng kết nối USB loại C,"Có, 90 W"
Sạc không dây,Có
Kết nối Wifi,Có
Kết nối Bluetooth,Có
Hệ thống loa,10
Loa trầm,1
Đèn trang trí nội thất,Đa màu
Cửa sổ trời,"Toàn cảnh, chỉnh điện"
Gương chiếu hậu trong xe,Chống chói tự động
AN TOÀN & AN NINH,
Hệ thống chống bó cứng phanh ABS,Có
Chức năng phân phối lực phanh điện tử EBD,Có
Hỗ trợ phanh khẩn cấp BA,Có
Hệ thống cân bằng điện tử ESC,Có
Chức năng kiểm soát lực kéo TCS,Có
Hỗ trợ khởi hành ngang dốc HSA,Có
Chức năng chống lật ROM,Có
Đèn báo phanh khẩn cấp ESS,Có
Giám sát áp suất lốp,dTPMS
Khóa cửa xe tự động khi xe di chuyển,Có
Căng đai khẩn cấp,Có
"Móc cố định ghế trẻ em ISOFIX, hàng ghế thứ 2",Có
Cảnh báo dây an toàn hàng trước và hàng 2,Có
HỆ THỐNG TÚI KHÍ,11
Túi khí trước lái và hành khách phía trước,2
Túi khí rèm,2
Túi khí bên hông hàng ghế trước,2
Túi khí bên hông hàng ghế sau,2
Túi khí bảo vệ chân hàng ghế trước,2
Túi khí trung tâm hàng ghế trước,1
HỆ THỐNG HỖ TRỢ NGƯỜI LÁI NÂNG CAO ADAS,
TRỢ LÁI TRÊN CAO TỐC,
