PHIÊN BẢN,VF 9 Plus
KÍCH THƯỚC & TẢI TRỌNG,
KÍCH THƯỚC,
Chiều dài cơ sở (mm),3.149
Dài x Rộng x Cao (mm),5.119 x 2.254 x 1.697
Khoảng sáng gầm xe không tải (mm),184
Dung tích khoang chứa hành lý (L) - Có hàng ghế cuối,212
Dung tích khoang chứa hành lý (L) - Gập hàng ghế cuối,926
Dung tích khoang chứa hành lý (L) - Phía trước,100
TẢI TRỌNG,
Trọng lượng không tải (kg),"7 chỗ: 2.968
6 chỗ: 2.932"
Tải trọng (kg),"7 chỗ: 550
6 chỗ: 475"
Tải trọng hành lý nóc xe (kg),75
HỆ THỐNG TRUYỀN ĐỘNG,
Động cơ,
Động cơ,2 motor 150 kW
Công suất tối đa (hp/kW),402/300
Mô men xoắn cực đại (Nm),620
Tốc độ tối đa (km/h),200
PIN,
Loại pin,CATL
Dung lượng pin (kWh) - khả dụng,123
Quãng đường chạy một lần sạc đầy (km) - Điều kiện tiêu chuẩn châu Âu (WLTP),602
Công suất sạc AC tối đa (kW),"6,6 kW 1 pha, 11 kW 3 pha"
Hệ thống phanh tái sinh,"Có (Tắt, Thấp, Trung bình, Cao)"
Thời gian nạp pin nhanh nhất (phút),35 phút (10 - 70%)
THÔNG SỐ TRUYỀN ĐỘNG KHÁC,
Cách chuyển số,Nút bấm
Dẫn động,AWD/2 cầu toàn thời gian
Chọn chế độ lái,Eco/Normal/Sport
Chế độ thay đổi tốc độ đến dừng,Có
KHUNG GẦM,
GIẢM XÓC,
Hệ thống treo - trước,"Độc lập, tay đòn kép"
Hệ thống treo - sau,"Liên kết đa điểm, giảm chấn khí nén"
PHANH,
Phanh trước,Đĩa thông gió
Phanh sau,Đĩa thông gió
VÀNH VÀ LỐP BÁNH XE,
Kích thước La-zăng,21 Inch
Loại la-zăng,Hợp kim
NGOẠI THẤT,
ĐÈN PHA,
Đèn pha,LED Matrix
Đèn chờ dẫn đường,Có
Đèn pha tự động bật/tắt,Có
Điều khiển góc chiếu pha thông minh,Có
Tự động quay góc chiếu đèn (Đèn liếc),Có
ĐÈN NGOẠI THẤT KHÁC,
Đèn chiếu sáng ban ngày,LED
Đèn định vị,"LED, tích hợp cùng đèn chiếu sáng ban ngày"
Đèn chào mừng,Có
GƯƠNG,
Gương chiếu hậu: sấy mặt gương,Có
Gương chiếu hậu: tự động chỉnh khi lùi,Có
Gương chiếu hậu: chống chói tự động,Có
Gương chiếu hậu: nhớ vị trí,Có
CỬA,
Cơ chế lẫy mở cửa,Nút bấm điện
Cửa hít,Có
Kiểu cửa sổ,"Hàng ghế trước: kính cách âm 2 lớp.
Hàng ghế sau: kính 1 lớp"
Kính cửa sổ màu đen (riêng tư),Kính đen mờ
Kính cửa sổ lên/xuống một chạm,4 cửa
Đèn chiếu sáng khi mở cửa,Có (Chiếu hình logo)
CỐP,
Điều chỉnh cốp sau,Chỉnh điện
Đóng/Mở cốp đá chân,Có
Đèn chiếu logo mặt đường (cảm biến đá cốp),Có
NỘI THẤT & TIỆN NGHI,
GHẾ TOÀN XE,
Số chỗ ngồi,7 hoặc 6
Chất liệu bọc ghế,Da nhân tạo cao cấp
GHẾ LÁI,
Ghế lái - điều chỉnh hướng,Chỉnh điện 12 hướng
Ghế lái nhớ vị trí,Có
Ghế lái có massage,Có
Ghế lái có thông gió,Có
Ghế lái có sưởi,Có
GHẾ PHỤ,
Ghế phụ - điều chỉnh hướng,Chỉnh điện 10 hướng
Ghế phụ có massage,Có
Ghế phụ có thông gió,Có
Ghế phụ có sưởi,Có
GHẾ HÀNG 2,
Hàng ghế thứ 2 điều chỉnh hướng,Chỉnh điện 8 hướng
Hàng ghế thứ 2 điều chỉnh gập tỷ lệ,"40:20:40, hỗ trợ dễ vào hàng 3"
Hàng ghế thứ 2 có thông gió,Có
Hàng ghế thứ 2 có sưởi,Có
Hàng ghế thứ 2 có massage,Có
GHẾ VIP,"Có, lựa chọn từ đầu khi mua xe"
Ghế VIP chỉnh điện,"6 chỗ: Chỉnh điện 8 hướng
7 chỗ: Không"
Hộp đồ hàng ghế sau,"6 chỗ: Có, tích hợp sạc không dây
7 chỗ: Không"
Ghế VIP massage,Có
Ghế VIP có thông gió,Có
Ghế VIP có sưởi,Có
VÔ LĂNG,
Điều chỉnh vô lăng,Chỉnh điện 4 hướng
Sưởi tay lái,Có
Nhớ vị trí vô lăng,Có
ĐIỀU HÒA KHÔNG KHÍ,
Hệ thống điều hòa,"Tự động, 3 vùng"
Chức năng kiểm soát chất lượng không khí,Có
Chức năng ion hóa không khí,Có
Lọc không khí Cabin,Combi 1.0
Ống thông gió dưới chân hành khách sau,Có
Cửa gió điều hòa hàng ghế thứ 2: trên hộp để đồ trung tâm,Có
Cửa gió điều hòa hàng ghế thứ 2: trên cột B,Có
"MÀN HÌNH, KẾT NỐI, GIẢI TRÍ, TIỆN NGHI",
Màn hình giải trí cảm ứng,"15,6 Inch"
Màn hình giải trí cảm ứng hàng ghế sau,8 Inch
Màn hình hiển thị HUD,Có
Cổng kết nối USB loại A hàng ghế lái,2
Cổng kết nối USB loại A hàng ghế thứ 2,7 chỗ: 2 | 6 chỗ: 4
Cổng kết nối USB loại A hàng ghế thứ 3,2
Cổng kết nối USB loại C,Có
Cổng sạc 12V khoang hành lý,Có
Ổ điện xoay chiều,230 V/150 W
Sạc không dây,Có
HỆ THỐNG LOA,13
Loa trầm,1
Âm ly,Có
HỆ THỐNG ĐÈN NỘI THẤT,
Đèn trang trí nội thất,Có (Đa màu)
Đèn hộc để đồ trước,Có
Đèn khoang hành lý,Có
Đèn khoang hành lý trước,Có
"Tấm che nắng, có gương","Ghế lái và ghế phụ, thêm đèn"
NỘI THẤT & TIỆN NGHI KHÁC,
Phanh tay,Điện tử
Gương chiếu hậu trong xe,Chống chói tự động
AN TOÀN & AN NINH,
Hệ thống chống bó cứng phanh ABS,Có
Chức năng phân phối lực phanh điện tử EBD,Có
Hỗ trợ phanh khẩn cấp BA,Có
Hệ thống cân bằng điện tử ESC,Có
Chức năng kiểm soát lực kéo TCS,Có
Hỗ trợ khởi hành ngang dốc HSA,Có
Chức năng chống lật ROM,Có
Đèn báo phanh khẩn cấp ESS,Có
Giám sát áp suất lốp,dTPMS
Cảnh báo chống trộm,Có
Gọi cứu hộ tự động và dịch vụ hỗ trợ trên đường,Có
HỆ THỐNG TÚI KHÍ,11
Túi khí trước lái và hành khách phía trước,2
Túi khí rèm,2
Túi khí bên hông hàng ghế trước,2
Túi khí bên hông hàng ghế sau,2
Túi khí bảo vệ chân hàng ghế trước,2
Túi khí trung tâm hàng ghế trước,1
CÁC TÍNH NĂNG ADAS,
TRỢ LÁI TRÊN CAO TỐC,
Hỗ trợ di chuyển khi ùn tắc,Có
Hỗ trợ lái trên đường cao tốc,Có
TRỢ LÀN,
Cảnh báo chệch làn,Có
Hỗ trợ giữ làn,Có
Kiểm soát đi giữa làn,Có
GIÁM SÁT HÀNH TRÌNH THÍCH ỨNG,
Giám sát hành trình thích ứng,Có
Điều chỉnh tốc độ thông minh,Có
Nhận biết biển báo giao thông,Có
CẢNH BÁO VA CHẠM,
Cảnh báo va chạm phía trước,Có
Cảnh báo phương tiện cắt ngang phía sau,Có
Cảnh báo điểm mù,Có
Cảnh báo mở cửa,Có
TRỢ LÁI KHI CÓ NGUY CƠ VA CHẠM,
Phanh tự động khẩn cấp trước,Có
Hỗ trợ giữ làn khẩn cấp,Có
HỖ TRỢ ĐỖ XE,
Hỗ trợ đỗ phía trước,Có
Hỗ trợ đỗ phía sau,Có
Hệ thống camera sau,Có
Giám sát xung quanh,Có
CÁC TÍNH NĂNG KHÁC,
Đèn pha thích ứng,Có
Hệ thống giám sát lái xe,Có
THIẾT KẾ KIỂU DÁNG NGOẠI THẤT,
Tay nắm cửa,Loại ẩn
Bậc lên xuống,Có
Thanh trang trí nóc xe,AFS
THIẾT KẾ KIỂU DÁNG NỘI THẤT,
VÔ LĂNG,
Loại vô lăng,Dạng D-cut
Bọc vô lăng,Da thân thiện môi trường
CÁC TÍNH NĂNG ĐIỀU KHIỂN THÔNG MINH (*),
Lựa chọn chế độ vận hành đặc biệt,Có
Cài đặt Giới hạn thời gian hoạt động & khu vực hoạt động của xe,Có
Giải trí trực tuyến,Có
Trò chơi,Có
Điều hướng và dẫn đường trên màn hình trung tâm,Có
Trình duyệt web,Có
Tự chẩn đoán lỗi,Có
Hỏi đáp trợ lý ảo,Có
Điều khiển xe và cài đặt bằng giọng nói,Có
Ứng dụng điện thoại,Có
Cập nhật phần mềm từ xa,Có
