PHIÊN BẢN,VF 3
Lọc không khí cabin,Lọc bụi
Chức năng làm tan sương/tan băng,Có
"MÀN HÌNH, KẾT NỐI GIẢI TRÍ",
Màn hình giải trí cảm ứng,10 inch
Cổng kết nối USB loại A hàng ghế thứ 2,"Có, 1 cổng 1,5 A"
Kết nối Wi-Fi,Có (Chỉ dùng cập nhật phần mềm từ xa)
Kết nối Bluetooth,Có
Khởi động bằng bàn đạp phanh - BEV,Có
Các ngôn ngữ hỗ trợ,Tiếng Việt/Tiếng Anh
HỆ THỐNG LOA,
Hệ thống loa,2
HỆ THỐNG ĐÈN NỘI THẤT,
Đèn trần phía trước,Dạng bóng
"Tấm che nắng, có gương",Có (Loại không gương)
Hộc đựng cốc giữa - hàng ghế trước,2
NỘI THẤT & TIỆN NGHI KHÁC,
Phanh tay,"Kích hoạt phanh tay
bằng nút P ở cần gạt vô lăng"
Khay đựng dụng cụ sửa xe,Có (Túi vải)
Móc kéo tời,Có (Có thể tách rời)
Gương chiếu hậu trong xe,Ngày và đêm (loại thường)
AN TOÀN & AN NINH,
Hệ thống chống bó cứng phanh ABS,Có
Hỗ trợ phanh khẩn cấp BA,Có
Chức năng kiểm soát lực kéo TCS,Có
Hỗ trợ khởi hành ngang dốc HSA,Có
Khóa cửa xe tự động khi xe di chuyển,Có (5 km/h)
Căng đai khẩn cấp ghế trước,Có
Cảnh báo dây an toàn hàng trước và hàng 2,Ghế phụ trước
HỆ THỐNG TÚI KHÍ,1
Túi khí trước lái và hành khách phía trước,Túi khí trước lái
Tính năng khóa động cơ khi có trộm,Có
CÁC TÍNH NĂNG ADAS,
HỖ TRỢ ĐỖ XE,
Hỗ trợ đỗ phía sau,Có
Hệ thống camera sau,AFS
CÁC TÍNH NĂNG THÔNG MINH,
"ĐIỀU KHIỂN XE THÔNG MINH (Màn hình, giọng nói, C-App)",
Điều khiển chức năng trên xe,Có (Trên màn hình)
Chế độ Cắm trại,Có
"THIẾT LẬP, THEO DÕI VÀ GHI NHỚ HỒ SƠ NGƯỜI LÁI",
Đồng bộ và quản lý tài khoản,Có (Màn hình và ứng dụng VinFast)
ĐIỀU HƯỚNG - DẪN ĐƯỜNG,
Tìm kiếm địa điểm và dẫn đường,"Có (Android Auto/Apple Carplay)
*Sẽ được cập nhật phần mềm sau"
Định vị vị trí xe từ xa,Có (Ứng dụng VinFast)
AN NINH - AN TOÀN,
Đề xuất lịch bảo trì/bảo dưỡng tự động,Có (Ứng dụng VinFast)
"Theo dõi và hiển thị thông tin tình trạng xe
(Mức pin còn lại, mức nước làm mát,...)",Có (Ứng dụng VinFast)
TIỆN ÍCH GIA ĐÌNH VÀ VĂN PHÒNG,
Giải trí thông qua đồng bộ với điện thoại,"Có (Android Auto/Apple Carplay)
*Sẽ được cập nhật phần mềm sau"
Giải trí âm thanh,Có (Trên màn hình)
Tra cứu và truy cập Internet,Có
Đồng bộ lịch và danh bạ điện thoại,Có (Màn hình và ứng dụng VinFast)
Đồng bộ danh bạ điện thoại,Có (Bluetooth và kết nối dây)
CẬP NHẬT PHẦN MỀM TỪ XA,
Cập nhật phần mềm miễn phí FOTA,Có (Chỉ màn hình)
Cập nhật phần mềm thu phí SOTA,Có (Chỉ màn hình)
DỊCH VỤ VỀ XE,
Nhận thông báo và đặt dịch vụ hậu mãi,Có (Ứng dụng VinFast)
Quản lý gói cước thuê pin trực tuyến,Có (Ứng dụng VinFast)
