model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 5|||adas|Hỗ trợ lái nâng cao (ADAS)|Cảnh báo phương tiện cắt ngang phía sau|Cảnh báo phương tiện cắt ngang phía sau|Hỗ trợ phát hiện vật cản hay phương tiện di chuyển từ phía sau hoặc hai bên, đặc biệt là các điểm mù.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[909.2, 100.6, 1246.0, 297.6]|p05_b02|0.98
VF 5|||adas|Hỗ trợ lái nâng cao (ADAS)|Cảnh báo mở cửa|Cảnh báo mở cửa|Hỗ trợ và cảnh báo khi có chướng ngại vật, xe hoặc người từ hai bên hoặc phía sau, giúp tránh va chạm khi mở cửa xe.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[1276.3, 100.6, 1609.7, 297.6]|p05_b02|0.98
VF 5|||adas|Hỗ trợ lái nâng cao (ADAS)|Cảnh báo điểm mù|Cảnh báo điểm mù (BSD)|Cảm biến giúp phát hiện người hoặc xe từ phía sau, đưa ra cảnh báo để người lái chú ý quan sát và xử lý tình huống.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[909.2, 339.3, 1246.0, 532.2]|p05_b02|0.98
VF 5|||adas|Hỗ trợ lái nâng cao (ADAS)|Hỗ trợ đỗ phía sau|Hỗ trợ đỗ phía sau|Cụm cảm biến phía sau phát hiện chướng ngại vật và gửi cảnh báo, hỗ trợ bạn đỗ xe an toàn.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[1276.3, 339.3, 1609.7, 532.2]|p05_b02|0.98
VF 5|||interior|Nội thất|Ra lệnh bằng giọng nói|Ra lệnh bằng giọng nói|Trợ lý ảo ViVi giúp điều khiển dễ dàng các tính năng trên xe như điều hòa, giải trí, bản đồ và nhiều hơn thế, chỉ bằng giọng nói.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|6|[909.2, 117.9, 1335.2, 192.9]|p06_b02|0.98
VF 5|||interior|Nội thất|Hỏi đáp thông tin & hỗ trợ nâng cao|Hỏi đáp thông tin & hỗ trợ nâng cao|Trợ lý ảo ViVi có khả năng hỏi đáp những câu hỏi cơ bản như tin tức, thời tiết, truyện cười – mang đến trải nghiệm lái xe sinh động và trọn vẹn hơn.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|6|[909.2, 219.7, 1338.6, 344.7]|p06_b02|0.98
VF 5|||interior|Nội thất|Độ chính xác khi nhận diện ngôn ngữ Tiếng Việt|Độ chính xác khi nhận diện ngôn ngữ Tiếng Việt|98|%|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|6|[62.3, 437.5, 431.0, 519.7]|p06_b02|0.98
VF 5|||interior|Nội thất|Nghe hiểu được ngôn ngữ tiếng Việt đa vùng miền|Nghe hiểu được ngôn ngữ tiếng Việt đa vùng miền|Có||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|6|[250.9, 437.5, 463.0, 520.3]|p06_b02|0.98
VF 5|VF 5||exterior|Ngoại thất|Đầu xe|Đầu xe|Thiết kế chữ V đặc trưng được mạ crom tinh tế, không có lưới tản nhiệt nhờ công nghệ điện hóa||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|7|[33.7, 452.4, 210.5, 565.5]|p07_b02|0.98
VF 5|VF 5||exterior|Ngoại thất|Thân xe|Thân xe|Phối màu sắc độc đáo hai màu của thân và nóc xe; các chi tiết ngoại thất đồng màu của ốp ngoài gương chiếu hậu với nóc xe, tạo sự hài hòa với thân xe, tạo nên phong cách riêng của VF 5||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|7|[210.5, 452.4, 454.6, 565.5]|p07_b02|0.98
VF 5|VF 5||exterior|Ngoại thất|Mâm xe|Mâm xe|La-zăng hợp kim 17|inch|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|7|[454.6, 452.4, 926.1, 565.5]|p07_b02|0.98
VF 5|||exterior|Ngoại thất|Kính chắn gió chống tia UV|Kính chắn gió chống tia UV|Có||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|7|[1077.6, 452.4, 1262.8, 565.5]|p07_b02|0.98
VF 5|||exterior|Ngoại thất|Gương chiếu hậu chỉnh điện|Gương chiếu hậu|Có||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|7|[1431.2, 452.4, 1675.4, 565.5]|p07_b02|0.98
